Language,City,Total Shows,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Telugu","Bengaluru","113","41357","7416","17.93%","1910480.00","9866585.00","238.57"
"Telugu","Bellary","10","5632","1812","32.17%","427950.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","10","0.45%","1100.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","15","3.68%","3000.00","81600.00","200.00"
"Telugu","Kolar","3","552","29","5.25%","4890.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","50","5.52%","15000.00","271500.00","300.00"
"Telugu","Bengaluru","113","41362","7436","17.98%","1915850.00","9866850.00","238.55"
"Telugu","Bellary","10","5632","1814","32.21%","428450.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","10","0.45%","1100.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","15","3.68%","3000.00","81600.00","200.00"
"Telugu","Kolar","3","552","29","5.25%","4890.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","50","5.52%","15000.00","271500.00","300.00"
"Telugu","Bengaluru","113","41347","6844","16.55%","1775930.00","9861185.00","238.50"
"Telugu","Bellary","10","5632","1814","32.21%","428450.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","10","0.45%","1100.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","15","3.68%","3000.00","81600.00","200.00"
"Telugu","Kolar","3","552","29","5.25%","4890.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","50","5.52%","15000.00","271500.00","300.00"
"Telugu","Bengaluru","113","41327","7279","17.61%","1866610.00","9855910.00","238.49"
"Telugu","Bellary","10","5632","1808","32.10%","426950.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","10","0.45%","1100.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","15","3.68%","3000.00","81600.00","200.00"
"Telugu","Kolar","3","552","29","5.25%","4890.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","50","5.52%","15000.00","271500.00","300.00"
"Telugu","Bengaluru","113","41245","7511","18.21%","1920410.00","9815008.33","237.97"
"Telugu","Bellary","10","5632","1808","32.10%","426950.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","10","0.45%","1100.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","15","3.68%","3000.00","81600.00","200.00"
"Telugu","Kolar","3","552","29","5.25%","4890.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","50","5.52%","15000.00","271500.00","300.00"
"Telugu","Bengaluru","113","41245","7351","17.82%","1901180.00","9809300.00","237.83"
"Telugu","Bellary","10","5632","1806","32.07%","426450.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","10","0.45%","1100.00","276500.00","125.00"
"Telugu","Chikballapur","3","408","15","3.68%","3000.00","81600.00","200.00"
"Telugu","Kolar","3","552","29","5.25%","4890.00","91080.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","50","5.52%","15000.00","271500.00","300.00"
"Telugu","Bengaluru","111","40809","7945","19.47%","2059140.00","9777041.67","239.58"
"Telugu","Bellary","10","5632","1840","32.67%","435550.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","11","0.50%","1200.00","276500.00","125.00"
"Telugu","Chikballapur","2","272","18","6.62%","3600.00","54400.00","200.00"
"Telugu","Kolar","2","368","17","4.62%","2850.00","60720.00","165.00"
"Telugu","Malur","3","921","3","0.33%","450.00","161175.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","5","905","67","7.40%","20100.00","271500.00","300.00"
"Telugu","Bengaluru","95","34451","7957","23.10%","2071810.00","8535555.00","247.76"
"Telugu","Bellary","10","5632","1508","26.78%","364350.00","1482666.67","263.26"
"Telugu","Tumkur","4","2212","25","1.13%","3300.00","276500.00","125.00"
"Telugu","Chikballapur","2","272","21","7.72%","4200.00","54400.00","200.00"
"Telugu","Kolar","2","368","21","5.71%","3510.00","60720.00","165.00"
"Telugu","Malur","2","614","3","0.49%","450.00","107450.00","175.00"
"Telugu","Tiptur","2","1658","0","0.00%","0.00","207250.00","125.00"
"Telugu","Raichur","4","724","59","8.15%","17700.00","217200.00","300.00"
"Telugu","Bengaluru","89","32364","8035","24.83%","2117340.00","8071226.67","249.39"
"Telugu","Bellary","8","4364","1418","32.49%","337950.00","1165666.67","267.11"
"Telugu","Tumkur","3","1659","9","0.54%","900.00","207375.00","125.00"
"Telugu","Chikballapur","2","272","29","10.66%","5800.00","54400.00","200.00"
"Telugu","Kolar","2","368","26","7.07%","4350.00","60720.00","165.00"
"Telugu","Malur","2","614","3","0.49%","450.00","107450.00","175.00"
"Telugu","Tiptur","2","1658","95","5.73%","14250.00","207250.00","125.00"
"Telugu","Raichur","4","724","72","9.94%","21600.00","217200.00","300.00"
"Telugu","Bengaluru","85","30509","7926","25.98%","2097400.00","7617801.67","249.69"
"Telugu","Bellary","8","4364","1420","32.54%","338650.00","1165666.67","267.11"
"Telugu","Tumkur","3","1659","9","0.54%","900.00","207375.00","125.00"
"Telugu","Chikballapur","2","272","29","10.66%","5800.00","54400.00","200.00"
"Telugu","Kolar","2","368","26","7.07%","4350.00","60720.00","165.00"
"Telugu","Malur","2","614","3","0.49%","450.00","107450.00","175.00"
"Telugu","Tiptur","2","1658","511","30.82%","62200.00","207250.00","125.00"
"Telugu","Raichur","4","724","74","10.22%","22200.00","217200.00","300.00"
"Telugu","Bengaluru","78","27249","6702","24.60%","1863520.00","6880876.67","252.52"
"Telugu","Bellary","8","4364","1452","33.27%","348250.00","1165666.67","267.11"
"Telugu","Tumkur","3","1659","9","0.54%","900.00","207375.00","125.00"
"Telugu","Chikballapur","1","136","30","22.06%","6000.00","27200.00","200.00"
"Telugu","Kolar","2","368","40","10.87%","6690.00","60720.00","165.00"
"Telugu","Malur","2","614","5","0.81%","850.00","107450.00","175.00"
"Telugu","Tiptur","1","829","0","0.00%","0.00","103625.00","125.00"
"Telugu","Raichur","4","724","110","15.19%","33000.00","217200.00","300.00"
"Telugu","Bengaluru","67","23647","6514","27.55%","1754100.00","5930688.33","250.80"
"Telugu","Bellary","7","4084","1428","34.97%","337400.00","1058333.33","259.14"
"Telugu","Tumkur","3","1659","12","0.72%","1200.00","207375.00","125.00"
"Telugu","Chikballapur","1","136","38","27.94%","7600.00","27200.00","200.00"
"Telugu","Kolar","2","368","54","14.67%","9180.00","60720.00","165.00"
"Telugu","Malur","1","307","7","2.28%","1350.00","53725.00","175.00"
"Telugu","Tiptur","1","829","0","0.00%","0.00","103625.00","125.00"
"Telugu","Raichur","3","543","66","12.15%","19800.00","162900.00","300.00"
"Telugu","Bengaluru","61","20784","6226","29.96%","1734660.00","5336988.33","256.78"
"Telugu","Bellary","5","2816","969","34.41%","231200.00","741333.33","263.26"
"Telugu","Tumkur","2","1106","8","0.72%","800.00","138250.00","125.00"
"Telugu","Chikballapur","1","136","45","33.09%","9000.00","27200.00","200.00"
"Telugu","Kolar","2","368","57","15.49%","9720.00","60720.00","165.00"
"Telugu","Malur","1","307","8","2.61%","1500.00","53725.00","175.00"
"Telugu","Tiptur","1","829","431","51.99%","54200.00","103625.00","125.00"
"Telugu","Raichur","3","543","83","15.29%","24900.00","162900.00","300.00"
