City,Language,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:15 am","352","136","38.64","₹51000","₹132000","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","08:30 am","89","60","67.42","₹18000","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:30 am","352","261","74.15","₹97875","₹132000","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","12:15 pm","352","297","84.38","₹111375","₹132000","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:00 pm","89","71","79.78","₹21300","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:30 pm","352","313","88.92","₹117375","₹132000","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:30 pm","350","294","84.00","₹110250","₹131250","375.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:30 pm","89","68","76.40","₹20400","₹26700","300.00"
"bengaluru","Telugu","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","10:30 pm","352","285","80.97","₹106875","₹132000","375.00"
"bengaluru","Telugu","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","12:45 pm","329","149","45.29","₹44700","₹98700","300.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","08:45 am","350","94","26.86","₹35250","₹131250","375.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","11:30 am","36","19","52.78","₹5700","₹10800","300.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","12:00 pm","350","170","48.57","₹63750","₹131250","375.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","02:45 pm","36","22","61.11","₹6600","₹10800","300.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","03:45 pm","352","211","59.94","₹79125","₹132000","375.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","06:00 pm","36","16","44.44","₹4800","₹10800","300.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","07:15 pm","352","189","53.69","₹70875","₹132000","375.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","09:15 pm","36","14","38.89","₹4200","₹10800","300.00"
"bengaluru","Tamil","Innovative Multiplex Marathahalli, Near Marathalli Junction, Bengaluru","10:00 pm","352","115","32.67","₹43125","₹132000","375.00"
"bengaluru","Tamil","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","12:40 pm","756","248","32.80","₹68200","₹207900","275.00"
"bengaluru","Tamil","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","03:50 pm","756","223","29.50","₹61325","₹207900","275.00"
"bengaluru","Tamil","Sandhya Theatre RGB Laser Atmos, Madivala, Bengaluru","07:10 pm","756","232","30.69","₹63800","₹207900","275.00"
"bengaluru","Tamil","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","09:30 am","329","53","16.11","₹15900","₹98700","300.00"
"bengaluru","Tamil","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","04:00 pm","329","110","33.43","₹33000","₹98700","300.00"
"bengaluru","Tamil","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","07:15 pm","329","91","27.66","₹27300","₹98700","300.00"
"bengaluru","Tamil","Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Road, Bengaluru","10:30 pm","329","49","14.89","₹14700","₹98700","300.00"
"bengaluru","Tamil","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","09:30 am","524","66","12.60","₹19800","₹157200","300.00"
"bengaluru","Tamil","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","12:40 pm","524","122","23.28","₹36600","₹157200","300.00"
"bengaluru","Tamil","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","03:50 pm","524","139","26.53","₹41700","₹157200","300.00"
"bengaluru","Tamil","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","07:05 pm","524","177","33.78","₹53100","₹157200","300.00"
"bengaluru","Tamil","Manasa RGB Laser Atmos Cinemas, Konankunte, Bengaluru","10:20 pm","524","64","12.21","₹19200","₹157200","300.00"
