Language,City,Total Shows,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Tamil","Bengaluru","706","222417","53808","24.19%","19036325.00","82003398.33","368.69"
"Tamil","Mysore","53","17336","2386","13.76%","740300.00","4856516.67","280.14"
"Tamil","Hubli","7","1629","119","7.31%","29060.00","378903.33","232.60"
"Tamil","Mangalore","0","0","0","0.00%","0.00","0.00","0.00"
"Tamil","Belagavi","3","1129","21","1.86%","5050.00","280750.00","248.67"
"Tamil","Kalaburagi","0","0","0","0.00%","0.00","0.00","0.00"
"Tamil","Shivamogga","0","0","0","0.00%","0.00","0.00","0.00"
"Tamil","Tumkur","6","1790","336","18.77%","97250.00","585000.00","326.82"
"Tamil","Davangere","2","1390","27","1.94%","5200.00","243250.00","175.00"
"Tamil","Raichur","0","0","0","0.00%","0.00","0.00","0.00"
