Language,City,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Telugu","Bengaluru","Akash Cinemas: Laggere","10:00 AM","425","10","2.35%","1100.00","53125.00","125.00"
"Telugu","Bengaluru","Akash Cinemas: Laggere","01:15 PM","425","22","5.18%","2500.00","53125.00","125.00"
"Telugu","Bengaluru","Anupama Theatre A/C 4K Dolby: Gandhinagar","10:15 AM","727","7","0.96%","1400.00","127225.00","175.00"
"Telugu","Bengaluru","Anupama Theatre A/C 4K Dolby: Gandhinagar","01:30 PM","727","4","0.55%","700.00","127225.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","10:15 AM","894","184","20.58%","32000.00","156450.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","01:15 PM","894","185","20.69%","32100.00","156450.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","04:15 PM","894","187","20.92%","32600.00","156450.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","07:20 PM","894","182","20.36%","31600.00","156450.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","10:30 PM","894","182","20.36%","31600.00","156450.00","175.00"
"Telugu","Bengaluru","Brundha RGB Laser 4K Projection: Hongasandra DMart","12:55 PM","708","28","3.95%","8000.00","177000.00","250.00"
"Telugu","Bengaluru","Brundha RGB Laser 4K Projection: Hongasandra DMart","07:15 PM","708","25","3.53%","7500.00","177000.00","250.00"
"Telugu","Bengaluru","Cinepolis VIP: Lulu Mall, Bengaluru","02:50 PM","84","17","20.24%","12750.00","60900.00","725.00"
"Telugu","Bengaluru","Cinepolis: Binnypet Mall","02:30 PM","154","10","6.49%","4000.00","61600.00","400.00"
"Telugu","Bengaluru","Cinepolis: Binnypet Mall","03:10 PM","142","26","18.31%","10400.00","56800.00","400.00"
"Telugu","Bengaluru","Cinepolis: Binnypet Mall","09:50 PM","154","10","6.49%","4000.00","61600.00","400.00"
"Telugu","Bengaluru","Cinepolis: Binnypet Mall","10:30 PM","142","10","7.04%","4000.00","56800.00","400.00"
"Telugu","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","10:35 AM","240","33","13.75%","13200.00","96000.00","400.00"
"Telugu","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","05:55 PM","240","38","15.83%","15200.00","96000.00","400.00"
"Telugu","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","11:25 AM","138","64","46.38%","28800.00","69000.00","500.00"
"Telugu","Bengaluru","Cinepolis: Orion Avenue Mall, Banaswadi","06:50 PM","206","36","17.48%","14400.00","82400.00","400.00"
"Telugu","Bengaluru","Cinepolis: Royal Meenakshi Mall","08:00 AM","116","10","8.62%","5000.00","58000.00","500.00"
"Telugu","Bengaluru","Cinepolis: Royal Meenakshi Mall","11:30 AM","147","40","27.21%","16000.00","58800.00","400.00"
"Telugu","Bengaluru","Cinepolis: Royal Meenakshi Mall","06:50 PM","147","28","19.05%","11200.00","58800.00","400.00"
"Telugu","Bengaluru","Galaxy Paradise (Miniplex): Begur Road","10:00 PM","120","22","18.33%","3300.00","18000.00","150.00"
"Telugu","Bengaluru","Gopalan Cinemas: Bannerghatta Road","01:05 PM","283","32","11.31%","13260.00","121690.00","430.00"
"Telugu","Bengaluru","Gopalan Grand Mall: Old Madras Road","12:50 PM","186","49","26.34%","18620.00","70680.00","380.00"
"Telugu","Bengaluru","Gopalan Grand Mall: Old Madras Road","10:30 PM","186","10","5.38%","3800.00","70680.00","380.00"
"Telugu","Bengaluru","Gopalan Mall: Sirsi Circle","09:45 AM","261","2","0.77%","700.00","91350.00","350.00"
"Telugu","Bengaluru","Gopalan Mall: Sirsi Circle","07:15 PM","273","2","0.73%","700.00","95550.00","350.00"
"Telugu","Bengaluru","Goverdhan Theatre: Yeshwantpur","10:15 AM","760","11","1.45%","2000.00","133000.00","175.00"
"Telugu","Bengaluru","Goverdhan Theatre: Yeshwantpur","01:15 PM","760","2","0.26%","400.00","133000.00","175.00"
"Telugu","Bengaluru","Gowrishankar DOLBY 7.1 RGB Laser: Attibele","10:30 AM","102","0","0.00%","0.00","15300.00","150.00"
"Telugu","Bengaluru","Gowrishankar DOLBY 7.1 RGB Laser: Attibele","01:30 PM","102","0","0.00%","0.00","15300.00","150.00"
"Telugu","Bengaluru","INOX: Galleria Mall, Yelahanka","03:30 PM","221","98","44.34%","44000.00","117866.67","533.33"
"Telugu","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","08:10 AM","171","26","15.20%","10400.00","68400.00","400.00"
"Telugu","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","11:40 AM","171","76","44.44%","30400.00","68400.00","400.00"
"Telugu","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","12:00 PM","178","91","51.12%","42000.00","94933.33","533.33"
"Telugu","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","09:00 PM","171","26","15.20%","10400.00","68400.00","400.00"
"Telugu","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","09:25 AM","110","22","20.00%","8800.00","44000.00","400.00"
"Telugu","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","03:50 PM","110","38","34.55%","15200.00","44000.00","400.00"
"Telugu","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","10:10 PM","110","8","7.27%","3200.00","44000.00","400.00"
"Telugu","Bengaluru","Kino Cinemas: Seegehalli Kadugodi, Bengaluru","09:40 AM","125","18","14.40%","4500.00","31250.00","250.00"
"Telugu","Bengaluru","Kino Cinemas: Seegehalli Kadugodi, Bengaluru","04:00 PM","125","56","44.80%","14000.00","31250.00","250.00"
"Telugu","Bengaluru","Kino Cinemas: Seegehalli Kadugodi, Bengaluru","10:20 PM","125","4","3.20%","1000.00","31250.00","250.00"
"Telugu","Bengaluru","Miraj Cinemas: TGN Lotus Elite, Magadi Road","12:30 PM","179","6","3.35%","2400.00","71600.00","400.00"
"Telugu","Bengaluru","Movietime Cinemas: YGR Signature Mall, RR Nagar","10:30 AM","201","1","0.50%","300.00","83750.00","416.67"
"Telugu","Bengaluru","Newfangled Miniplex (TWIN SEATED): MG Road","09:30 PM","15","5","33.33%","6000.00","18000.00","1200.00"
"Telugu","Bengaluru","Prakash Theatre: Yelahanka","10:00 AM","252","4","1.59%","800.00","50400.00","200.00"
"Telugu","Bengaluru","Prakash Theatre: Yelahanka","01:15 PM","252","2","0.79%","400.00","50400.00","200.00"
"Telugu","Bengaluru","Prakash Theatre: Yelahanka","10:00 PM","252","0","0.00%","0.00","50400.00","200.00"
"Telugu","Bengaluru","Prasanna Digital 4K Cinema: Magadi Road","10:30 PM","1103","72","6.53%","7920.00","143390.00","130.00"
