City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","18","0","0","0.00","0.00","0.00%"
"Kanakapura","0","0","0","0.00","0.00","0.00%"
"Karkala","5","0","0","0.00","0.00","0.00%"
"Mandya","8","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","5","0","0","0.00","0.00","0.00%"
"Ranebennuru","8","0","0","0.00","0.00","0.00%"
"Udupi","14","0","0","0.00","0.00","0.00%"
"Channarayapatna","4","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%""Dharwad","18","0","0","0.00","0.00","0.00%"
"Kanakapura","0","0","0","0.00","0.00","0.00%"
"Karkala","5","0","0","0.00","0.00","0.00%"
"Mandya","8","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","5","0","0","0.00","0.00","0.00%"
"Ranebennuru","8","0","0","0.00","0.00","0.00%"
"Udupi","14","0","0","0.00","0.00","0.00%"
"Channarayapatna","4","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%""Dharwad","18","0","0","0.00","0.00","0.00%"
"Kanakapura","0","0","0","0.00","0.00","0.00%"
"Karkala","5","0","0","0.00","0.00","0.00%"
"Mandya","8","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","5","0","0","0.00","0.00","0.00%"
"Ranebennuru","8","0","0","0.00","0.00","0.00%"
"Udupi","14","0","0","0.00","0.00","0.00%"
"Channarayapatna","4","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%""Dharwad","16","0","0","0.00","0.00","0.00%"
"Kanakapura","0","0","0","0.00","0.00","0.00%"
"Karkala","4","0","0","0.00","0.00","0.00%"
"Mandya","8","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","5","0","0","0.00","0.00","0.00%"
"Ranebennuru","8","0","0","0.00","0.00","0.00%"
"Udupi","11","0","0","0.00","0.00","0.00%"
"Channarayapatna","3","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%""Dharwad","15","0","0","0.00","0.00","0.00%"
"Kanakapura","0","0","0","0.00","0.00","0.00%"
"Karkala","4","0","0","0.00","0.00","0.00%"
"Mandya","6","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","4","0","0","0.00","0.00","0.00%"
"Ranebennuru","7","0","0","0.00","0.00","0.00%"
"Udupi","11","0","0","0.00","0.00","0.00%"
"Channarayapatna","3","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%""Dharwad","15","0","0","0.00","0.00","0.00%"
"Kanakapura","0","0","0","0.00","0.00","0.00%"
"Karkala","3","0","0","0.00","0.00","0.00%"
"Mandya","6","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","4","0","0","0.00","0.00","0.00%"
"Ranebennuru","6","0","0","0.00","0.00","0.00%"
"Udupi","11","0","0","0.00","0.00","0.00%"
"Channarayapatna","2","0","0","0.00","0.00","0.00%"
"Bagalkote","3","0","0","0.00","0.00","0.00%""Dharwad","14","0","0","0.00","0.00","0.00%"
"Kanakapura","2","0","0","0.00","0.00","0.00%"
"Karkala","3","0","0","0.00","0.00","0.00%"
"Mandya","6","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","4","0","0","0.00","0.00","0.00%"
"Ranebennuru","5","0","0","0.00","0.00","0.00%"
"Udupi","9","0","0","0.00","0.00","0.00%"
"Channarayapatna","2","0","0","0.00","0.00","0.00%"
"Bagalkote","3","0","0","0.00","0.00","0.00%""Dharwad","13","0","0","0.00","0.00","0.00%"
"Kanakapura","2","0","0","0.00","0.00","0.00%"
"Karkala","3","0","0","0.00","0.00","0.00%"
"Mandya","4","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","3","0","0","0.00","0.00","0.00%"
"Ranebennuru","4","0","0","0.00","0.00","0.00%"
"Udupi","8","0","0","0.00","0.00","0.00%"
"Channarayapatna","2","0","0","0.00","0.00","0.00%"
"Bagalkote","3","0","0","0.00","0.00","0.00%""Dharwad","11","0","0","0.00","0.00","0.00%"
"Kanakapura","1","0","0","0.00","0.00","0.00%"
"Karkala","2","0","0","0.00","0.00","0.00%"
