City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Hyderabad","87","37419","34034","27227200.00","29935200.00","90.95%"
"Warangal","5","2807","1587","1269600.00","2245600.00","56.54%"
"Karimnagar","2","782","107","85600.00","625600.00","13.68%"
"Nizamabad","1","335","93","74400.00","268000.00","27.76%"
"Khammam","2","1652","1006","804800.00","1321600.00","60.90%"
"Mahbubnagar","4","2169","1490","1192000.00","1735200.00","68.70%"
"Mancherial","5","3340","1705","466025.00","903500.00","51.05%"
"Nalgonda","5","720","86","30100.00","252000.00","11.94%"
"Adilabad","1","542","48","38400.00","433600.00","8.86%"
"Suryapet","2","640","234","187200.00","512000.00","36.56%"
