City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Hyderabad","89","38445","35397","28317600.00","30756000.00","92.07%"
"Warangal","5","2838","1597","1277600.00","2270400.00","56.27%"
"Karimnagar","2","782","108","86400.00","625600.00","13.81%"
"Nizamabad","1","335","98","78400.00","268000.00","29.25%"
"Khammam","2","1652","1037","829600.00","1321600.00","62.77%"
"Mahbubnagar","4","2169","1498","1198400.00","1735200.00","69.06%"
"Mancherial","5","3340","1709","467075.00","903500.00","51.17%"
"Nalgonda","5","720","86","30100.00","252000.00","11.94%"
"Adilabad","1","542","49","39200.00","433600.00","9.04%"
"Suryapet","2","640","239","191200.00","512000.00","37.34%"
