City,Venue,Show_Time,Category,Max_Seats,Booked_Seats,Price,Collection,Max_Collection,Occupancy
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","33","33","800.00","26400.00","26400.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","108","108","800.00","86400.00","86400.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","10","10","800.00","8000.00","8000.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","45","45","800.00","36000.00","36000.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","128","128","800.00","102400.00","102400.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","12","12","800.00","9600.00","9600.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","45","45","800.00","36000.00","36000.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","128","128","800.00","102400.00","102400.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","12","12","800.00","9600.00","9600.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","86","86","800.00","68800.00","68800.00","100.00%"
"Miryalaguda","Vitross Cineplex: Miryalaguda","10:00 PM","","12","12","800.00","9600.00","9600.00","100.00%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","10:00 PM","","194","128","800.00","102400.00","155200.00","65.98%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","10:00 PM","","248","33","800.00","26400.00","198400.00","13.31%"
"Siddipet","Asian Balaji 70MM A/C: Siddipet","10:00 PM","","111","30","600.00","18000.00","66600.00","27.03%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","07:00 AM","","435","428","275.00","117700.00","119625.00","98.39%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","11:00 AM","","435","420","275.00","115500.00","119625.00","96.55%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","02:15 PM","","435","303","275.00","83325.00","119625.00","69.66%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","06:15 PM","","435","300","275.00","82500.00","119625.00","68.97%"
"Jagtial","VLS Sri Rama Theatre: Jagtial","09:30 PM","","435","285","275.00","78375.00","119625.00","65.52%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","11:00 AM","","491","261","275.00","71775.00","135025.00","53.16%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","11:00 AM","","109","20","105.00","2100.00","11445.00","18.35%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","02:15 PM","","491","132","275.00","36300.00","135025.00","26.88%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","02:15 PM","","109","15","105.00","1575.00","11445.00","13.76%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","06:00 PM","","491","170","275.00","46750.00","135025.00","34.62%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","06:00 PM","","109","24","105.00","2520.00","11445.00","22.02%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","09:15 PM","","491","195","275.00","53625.00","135025.00","39.71%"
"Sircilla","Asian Natraj Deluxe Theatre A/c: Sircilla","09:15 PM","","109","11","105.00","1155.00","11445.00","10.09%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","07:45 AM","","486","343","275.00","94325.00","133650.00","70.58%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","11:00 AM","","486","344","275.00","94600.00","133650.00","70.78%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","02:15 PM","","486","154","275.00","42350.00","133650.00","31.69%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","06:00 PM","","486","201","275.00","55275.00","133650.00","41.36%"
"Kamareddy","Asian Priya Cineplex: Kamareddy","09:15 PM","","486","231","275.00","63525.00","133650.00","47.53%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","07:00 AM","","370","370","275.00","101750.00","101750.00","100.00%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","07:00 AM","","109","109","105.00","11445.00","11445.00","100.00%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","10:45 AM","","24","19","275.00","5225.00","6600.00","79.17%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","10:45 AM","","24","15","275.00","4125.00","6600.00","62.50%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","10:45 AM","","370","331","275.00","91025.00","101750.00","89.46%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","10:45 AM","","109","109","105.00","11445.00","11445.00","100.00%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","02:00 PM","","24","10","275.00","2750.00","6600.00","41.67%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","02:00 PM","","24","2","275.00","550.00","6600.00","8.33%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","02:00 PM","","370","95","275.00","26125.00","101750.00","25.68%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","02:00 PM","","109","57","105.00","5985.00","11445.00","52.29%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","06:00 PM","","24","10","275.00","2750.00","6600.00","41.67%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","06:00 PM","","24","0","275.00","0.00","6600.00","0.00%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","06:00 PM","","370","107","275.00","29425.00","101750.00","28.92%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","06:00 PM","","109","53","105.00","5565.00","11445.00","48.62%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","09:30 PM","","24","12","275.00","3300.00","6600.00","50.00%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","09:30 PM","","24","5","275.00","1375.00","6600.00","20.83%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","09:30 PM","","370","121","275.00","33275.00","101750.00","32.70%"
"Kothagudem","Maheshwari 2K Dolby Atmos- Kothagudem","09:30 PM","","109","52","105.00","5460.00","11445.00","47.71%"
"Sangareddy","Asian Nithin Sitara: Sangareddy","10:00 PM","","562","548","800.00","438400.00","449600.00","97.51%"
"Sangareddy","Asian Nithin Sitara: Sangareddy","10:00 PM","","96","33","600.00","19800.00","57600.00","34.38%"
"Metpally","Asian Sai Krishna: Metpally","07:45 AM","","137","137","250.00","34250.00","34250.00","100.00%"
"Metpally","Asian Sai Krishna: Metpally","07:45 AM","","295","295","250.00","73750.00","73750.00","100.00%"
"Metpally","Asian Sai Krishna: Metpally","07:45 AM","","92","85","200.00","17000.00","18400.00","92.39%"
"Metpally","Asian Sai Krishna: Metpally","07:45 AM","","132","35","105.00","3675.00","13860.00","26.52%"
"Metpally","Asian Sai Krishna: Metpally","11:00 AM","","137","135","250.00","33750.00","34250.00","98.54%"
"Metpally","Asian Sai Krishna: Metpally","11:00 AM","","295","250","250.00","62500.00","73750.00","84.75%"
"Metpally","Asian Sai Krishna: Metpally","11:00 AM","","92","55","200.00","11000.00","18400.00","59.78%"
"Metpally","Asian Sai Krishna: Metpally","11:00 AM","","132","7","105.00","735.00","13860.00","5.30%"
"Metpally","Asian Sai Krishna: Metpally","02:15 PM","","137","130","250.00","32500.00","34250.00","94.89%"
"Metpally","Asian Sai Krishna: Metpally","02:15 PM","","295","188","250.00","47000.00","73750.00","63.73%"
"Metpally","Asian Sai Krishna: Metpally","02:15 PM","","92","23","200.00","4600.00","18400.00","25.00%"
"Metpally","Asian Sai Krishna: Metpally","02:15 PM","","132","1","105.00","105.00","13860.00","0.76%"
"Metpally","Asian Sai Krishna: Metpally","06:00 PM","","137","94","250.00","23500.00","34250.00","68.61%"
"Metpally","Asian Sai Krishna: Metpally","06:00 PM","","295","115","250.00","28750.00","73750.00","38.98%"
"Metpally","Asian Sai Krishna: Metpally","06:00 PM","","92","12","200.00","2400.00","18400.00","13.04%"
"Metpally","Asian Sai Krishna: Metpally","06:00 PM","","132","2","105.00","210.00","13860.00","1.52%"
"Metpally","Asian Sai Krishna: Metpally","09:15 PM","","137","76","250.00","19000.00","34250.00","55.47%"
"Metpally","Asian Sai Krishna: Metpally","09:15 PM","","295","84","250.00","21000.00","73750.00","28.47%"
"Metpally","Asian Sai Krishna: Metpally","09:15 PM","","92","5","200.00","1000.00","18400.00","5.43%"
"Metpally","Asian Sai Krishna: Metpally","09:15 PM","","132","0","105.00","0.00","13860.00","0.00%"
